FamilyID,FamilyName,FamilyChangeDate,mxm_type,mxm_location,IncludeInBarrelDraw,IsWebFamily,IsVASTFamily,BackColour,FontColour,FontSize
0,ALL,2008-02-26 10:04:04.780,0,-1,0,0,0,-9404272,-16777216,12
1,Labels,2026-02-19 15:51:37.327,0,1,0,0,0,-9404272,-16777216,12
2,FRUITS/VEGGIE,2022-02-16 21:58:32.650,0,1,0,0,0,-9404272,-16777216,12
3,Azax refil 500ml 1+1,2022-02-21 18:17:11.867,0,1,0,0,0,-9404272,-16777216,12
4,Garden napkins 1+1,2022-02-21 18:07:28.413,0,1,0,0,0,-9404272,-16777216,12
5,Dettol wipes 25% Off,2022-02-21 17:25:41.240,0,1,0,0,0,-9404272,-16777216,12
6,Azax trigger 750ml 1+1,2022-02-21 18:42:14.130,0,1,0,0,0,-9404272,-16777216,12
7,Points redemption,2022-02-22 00:30:54.630,0,1,0,0,0,-9404272,-16777216,12
8,JAFFA MINI ,2022-04-19 18:09:29.170,0,1,0,0,0,-9404272,-16777216,12
9,VAT 0,2023-05-04 19:40:23.307,0,1,0,0,0,-9404272,-16777216,12
